Model,Criterion,Sparsity,Balanced Acc,Mel Sens,Macro AUROC,DCR,n
deit_small,Paxton (skewness),30%,0.760,0.742,0.952,0.26,1
deit_small,Paxton (skewness),50%,0.631,0.388,0.913,1.46,1
deit_small,Paxton (skewness),70%,0.222,0.004,0.613,0.80,1
deit_small,X-Pruner,30%,0.772,0.817,0.953,-0.70,1
deit_small,X-Pruner,50%,0.747,0.746,0.953,1.58,1
deit_small,X-Pruner,70%,0.595,0.446,0.915,1.77,1
deit_small,SparseGPT (diag-OBS),30%,0.632,0.592,0.884,0.72,1
deit_small,SparseGPT (diag-OBS),50%,0.208,0.000,0.686,1.14,1
deit_small,SparseGPT (diag-OBS),70%,0.143,0.000,0.559,0.55,1
deit_tiny,Paxton (skewness),30%,0.726,0.700,0.960,1.38,1
deit_tiny,Paxton (skewness),50%,0.616,0.529,0.933,1.23,1
deit_tiny,Paxton (skewness),70%,0.225,0.158,0.707,0.73,1
deit_tiny,X-Pruner,30%,0.744,0.750,0.961,0.33,1
deit_tiny,X-Pruner,50%,0.644,0.750,0.943,0.34,1
deit_tiny,X-Pruner,70%,0.384,0.446,0.814,0.98,1
deit_tiny,SparseGPT (diag-OBS),30%,0.588,0.171,0.924,1.97,1
deit_tiny,SparseGPT (diag-OBS),50%,0.227,0.067,0.662,0.85,1
deit_tiny,SparseGPT (diag-OBS),70%,0.143,1.000,0.482,0.54,1
