epoch,train_loss,balanced_accuracy,melanoma_sensitivity,timestamp
1,2.0020425175049277,0.6022995281078359,0.32286995515695066,2026-04-19T04:42:33+00:00
2,1.4739917525933257,0.6256251475474951,0.6053811659192825,2026-04-19T04:48:20+00:00
3,1.208817330617281,0.6897033837555796,0.6547085201793722,2026-04-19T04:54:05+00:00
4,1.0014042471476454,0.660840227578681,0.6098654708520179,2026-04-19T04:59:48+00:00
5,0.9057114167669923,0.7244160656802271,0.6233183856502242,2026-04-19T05:05:31+00:00
6,0.7774521526520215,0.7383302563018391,0.7354260089686099,2026-04-19T05:11:17+00:00
7,0.6787675475656123,0.7473136433792832,0.45739910313901344,2026-04-19T05:16:57+00:00
8,0.6148219434651386,0.7851930387965426,0.7040358744394619,2026-04-19T05:22:40+00:00
9,0.4888187367292386,0.7579849447352803,0.6816143497757847,2026-04-19T05:28:23+00:00
10,0.4400689534869006,0.7788607752645085,0.7668161434977578,2026-04-19T05:34:08+00:00
11,0.4013425665858741,0.793539403741234,0.726457399103139,2026-04-19T05:39:52+00:00
12,0.31753955152828695,0.8153555108104379,0.6502242152466368,2026-04-19T05:45:35+00:00
13,0.2731195865119926,0.8606101549614761,0.7443946188340808,2026-04-19T05:51:20+00:00
14,0.2535590300940003,0.841258851891589,0.6681614349775785,2026-04-19T05:57:15+00:00
15,0.2200384180150327,0.8321660505242743,0.6681614349775785,2026-04-19T06:03:09+00:00
16,0.19683910610225874,0.8263197465843658,0.7040358744394619,2026-04-19T06:09:04+00:00
17,0.18764974363241205,0.8411233246950796,0.6995515695067265,2026-04-19T06:14:58+00:00
18,0.1738240282928652,0.8357461670335316,0.6905829596412556,2026-04-19T06:20:49+00:00
19,0.15775435147002614,0.840262814464235,0.6995515695067265,2026-04-19T06:26:44+00:00
20,0.1639648156851545,0.8430572395026182,0.7130044843049327,2026-04-19T06:32:40+00:00
