model,epoch,train_loss,train_accuracy,val_balanced_accuracy,val_melanoma_sensitivity,timestamp
deit_tiny,1,1.384927770865898,0.5763854218671992,0.49856097293706997,0.5022421524663677,2026-04-18T21:53:15+00:00
deit_tiny,2,1.1307769570122108,0.6444083874188717,0.5748791655816412,0.6771300448430493,2026-04-18T21:59:37+00:00
deit_tiny,3,1.030845407126876,0.6643784323514728,0.622928485275944,0.7399103139013453,2026-04-18T22:06:12+00:00
deit_tiny,4,0.9254789530479545,0.6889665501747378,0.67950913260228,0.515695067264574,2026-04-18T22:12:55+00:00
deit_tiny,5,0.8920007155491183,0.6948327508736895,0.5507063580778022,0.336322869955157,2026-04-18T22:19:42+00:00
deit_tiny,6,0.8194889499416693,0.7282825761357963,0.6753634210653914,0.7713004484304933,2026-04-18T22:26:30+00:00
deit_tiny,7,0.7551746308855635,0.7373939091362955,0.6794798540047954,0.5291479820627802,2026-04-18T22:33:16+00:00
deit_tiny,8,0.7009758767813697,0.7481278082875686,0.7091575442323143,0.6636771300448431,2026-04-18T22:39:58+00:00
deit_tiny,9,0.6567261936724246,0.7648527209186221,0.7083710869767309,0.6995515695067265,2026-04-18T22:46:39+00:00
deit_tiny,10,0.5978589993169233,0.7789565651522716,0.7287195201303499,0.7668161434977578,2026-04-18T22:53:27+00:00
deit_tiny,11,0.5460480230921322,0.7973040439340988,0.8027326198075544,0.6098654708520179,2026-04-18T23:00:11+00:00
deit_tiny,12,0.4628134839510135,0.8127808287568647,0.7717119490557935,0.7847533632286996,2026-04-18T23:06:42+00:00
deit_tiny,13,0.4291415041934697,0.8288816774837744,0.8021125600716503,0.7488789237668162,2026-04-18T23:13:27+00:00
deit_tiny,14,0.3734032027497776,0.8431103344982526,0.8093091640869874,0.726457399103139,2026-04-18T23:20:10+00:00
deit_tiny,15,0.32652001917321294,0.8563404892661008,0.8177783316322657,0.7399103139013453,2026-04-18T23:26:54+00:00
deit_tiny,16,0.2859581282300269,0.873689465801298,0.8284158720289808,0.7174887892376681,2026-04-18T23:33:25+00:00
deit_tiny,17,0.2592440475805054,0.8869196205691463,0.8404739474050077,0.757847533632287,2026-04-18T23:40:10+00:00
deit_tiny,18,0.2410070010277485,0.8902895656515227,0.8347067463243245,0.7533632286995515,2026-04-18T23:46:59+00:00
deit_tiny,19,0.2258416427212432,0.8956565152271593,0.8344683210661543,0.7399103139013453,2026-04-18T23:53:43+00:00
deit_tiny,20,0.21552801261624835,0.8981527708437343,0.8303116627116728,0.7443946188340808,2026-04-19T00:00:28+00:00
deit_small,1,1.3754571654754344,0.5740139790314528,0.4614673386120703,0.2600896860986547,2026-04-19T00:09:34+00:00
deit_small,2,1.0836023479417392,0.659136295556665,0.5213063731953069,0.6591928251121076,2026-04-19T00:19:06+00:00
deit_small,3,0.9570571220713783,0.6831003494757864,0.670578677560283,0.547085201793722,2026-04-19T00:33:32+00:00
deit_small,4,0.8863234999875574,0.7045681477783325,0.6961948562139888,0.484304932735426,2026-04-19T00:44:44+00:00
deit_small,5,0.8247283225859545,0.7211682476285571,0.723833283579045,0.5605381165919282,2026-04-19T00:54:01+00:00
deit_small,6,0.7618744720779713,0.7346480279580629,0.6558973563819853,0.7130044843049327,2026-04-19T01:03:19+00:00
deit_small,7,0.699836103488327,0.7481278082875686,0.7466136806618486,0.4304932735426009,2026-04-19T01:12:38+00:00
deit_small,8,0.5995931907190094,0.7789565651522716,0.7020728463257664,0.5964125560538116,2026-04-19T01:21:58+00:00
deit_small,9,0.5364347663031509,0.7901897154268597,0.7985498083609712,0.7219730941704036,2026-04-19T01:31:17+00:00
deit_small,10,0.485387295463387,0.8155267099350973,0.7919644964191941,0.7443946188340808,2026-04-19T01:40:48+00:00
deit_small,11,0.4203504765619204,0.8332501248127808,0.8123637917369442,0.7668161434977578,2026-04-19T01:50:18+00:00
deit_small,12,0.3589550407814477,0.8504742885671492,0.8290402037776102,0.6816143497757847,2026-04-19T01:59:43+00:00
deit_small,13,0.3039659206956324,0.8674488267598602,0.8372343242990834,0.7892376681614349,2026-04-19T02:09:11+00:00
deit_small,14,0.25264425161659637,0.8886669995007489,0.8462218437502075,0.7802690582959642,2026-04-19T02:18:28+00:00
deit_small,15,0.2072431803711179,0.9087618572141787,0.8466958407598486,0.7847533632286996,2026-04-19T02:27:45+00:00
deit_small,16,0.1705759620033944,0.9192461308037944,0.8526780327975224,0.7847533632286996,2026-04-19T02:37:05+00:00
deit_small,17,0.13612656695621775,0.9347229156265602,0.8552535722217623,0.7174887892376681,2026-04-19T02:46:18+00:00
deit_small,18,0.1271084426714273,0.9380928607089366,0.8624432432029281,0.7533632286995515,2026-04-19T02:55:44+00:00
deit_small,19,0.0978169221574807,0.9495756365451822,0.8602279111540702,0.7623318385650224,2026-04-19T03:05:01+00:00
deit_small,20,0.10347378472899865,0.9447079380928607,0.8618447702332339,0.757847533632287,2026-04-19T03:14:16+00:00
